seq known correct t5 t3 mut add mapped amb
hsa-mir-147a_hsa-miR-147a_49:65_2:-1_mut:null_add:null hsa-miR-147a True True False False False hsa-miR-147a 1
hsa-mir-7159_hsa-miR-7159-5p_5:20_4:-1_mut:null_add:null hsa-miR-7159-5p True True False False False hsa-miR-7159-5p 1
hsa-mir-5701-2_hsa-miR-5701_10:27_0:-1_mut:null_add:AA hsa-miR-5701 False True False True False hsa-miR-5701 2
hsa-mir-4685_hsa-miR-4685-5p_4:28_0:-1_mut:4C_add:null hsa-miR-4685-5p False True True False False hsa-miR-4685-5p 1
hsa-mir-3143_hsa-miR-3143_2:26_-2:-2_mut:null_add:null hsa-miR-3143 True True False False False hsa-miR-3143 1
hsa-mir-646_hsa-miR-646_63:77_2:-2_mut:null_add:null hsa-miR-646 True True False False False hsa-miR-646 1
hsa-mir-4503_hsa-miR-4503_12:33_-1:-1_mut:null_add:null hsa-miR-4503 True True False False False hsa-miR-4503 1
hsa-mir-941-1_hsa-miR-941_47:68_0:-1_mut:null_add:null hsa-miR-941 False True False False False hsa-miR-941 4
hsa-mir-921_hsa-miR-921_3:25_1:-1_mut:null_add:null hsa-miR-921 True True False False False hsa-miR-921 1
hsa-mir-8086_hsa-miR-8086_9:31_-2:-1_mut:null_add:null hsa-miR-8086 True True False False False hsa-miR-8086 1
hsa-mir-2277_hsa-miR-2277-5p_18:40_0:-1_mut:null_add:A hsa-miR-2277-5p False True False True False hsa-miR-2277-5p 1
hsa-mir-219b_hsa-miR-219b-5p_13:34_-1:-1_mut:null_add:null hsa-miR-219b-5p True True False False False hsa-miR-219b-5p 2
hsa-mir-4308_hsa-miR-4308_52:70_-2:-1_mut:null_add:null hsa-miR-4308 True True False False False hsa-miR-4308 1
hsa-mir-6126_hsa-miR-6126_29:47_-2:-1_mut:null_add:null hsa-miR-6126 True True False False False hsa-miR-6126 1
hsa-mir-7977_hsa-miR-7977_1:17_0:-1_mut:null_add:ATA hsa-miR-7977 False True False True False hsa-miR-7977 1
hsa-mir-4493_hsa-miR-4493_54:72_2:0_mut:null_add:null hsa-miR-4493 True False False False False hsa-miR-4493 1
hsa-mir-6516_hsa-miR-6516-5p_12:31_0:-2_mut:null_add:null hsa-miR-6516-5p False True False False False hsa-miR-6516-5p 1
hsa-mir-4747_hsa-miR-4747-5p_4:21_3:-1_mut:null_add:null hsa-miR-4747-5p True True False False False hsa-miR-4747-5p 1
hsa-mir-1324_hsa-miR-1324_62:83_1:-1_mut:null_add:A hsa-miR-1324 True True False True False hsa-miR-1324 1
hsa-mir-7856_hsa-miR-7856-5p_7:22_4:-1_mut:null_add:null hsa-miR-7856-5p True True False False False hsa-miR-7856-5p 1
hsa-mir-662_hsa-miR-662_63:79_2:-2_mut:null_add:null hsa-miR-662 True True False False False hsa-miR-662 1
hsa-mir-519c_hsa-miR-519c-5p_20:35_4:-2_mut:null_add:null hsa-miR-519c-5p True True False False False hsa-miR-519a-5p 6
hsa-mir-3609_hsa-miR-3609_53:73_2:-1_mut:19C_add:TAA hsa-miR-3609 True True True True False hsa-miR-3609 1
hsa-mir-885_hsa-miR-885-5p_12:32_1:0_mut:null_add:A hsa-miR-885-5p True False False True False hsa-miR-885-5p 1
hsa-mir-520e_hsa-miR-520e_53:73_-1:-1_mut:null_add:null hsa-miR-520e True True False False False hsa-miR-520e 1
hsa-mir-6769a_hsa-miR-6769a-5p_8:25_2:-1_mut:null_add:null hsa-miR-6769a-5p True True False False False hsa-miR-6769a-5p 1
hsa-mir-548a-1_hsa-miR-548a-3p_63:80_2:-2_mut:null_add:null hsa-miR-548a-3p True True False False False hsa-miR-548a-3p 3
hsa-mir-4484_hsa-miR-4484_66:81_2:-2_mut:null_add:null hsa-miR-4484 True True False False False hsa-miR-4484 1
hsa-mir-6801_hsa-miR-6801-5p_5:27_-1:-1_mut:null_add:A hsa-miR-6801-5p True True False True False hsa-miR-6801-5p 1
hsa-mir-8071-2_hsa-miR-8071_40:54_4:-1_mut:null_add:null hsa-miR-8071 True True False False False hsa-miR-8071 2
hsa-mir-4314_hsa-miR-4314_10:27_-1:-1_mut:null_add:ATT hsa-miR-4314 True True False True False hsa-miR-4314 1
hsa-mir-3167_hsa-miR-3167_57:75_3:0_mut:null_add:null hsa-miR-3167 True False False False False hsa-miR-3167 1
hsa-mir-27b_hsa-miR-27b-5p_23:39_4:-1_mut:null_add:AA hsa-miR-27b-5p True True False True False hsa-miR-27b-5p 1
hsa-mir-527_hsa-miR-527_13:32_-1:-1_mut:null_add:null hsa-miR-527 True True False False False hsa-miR-527 3
hsa-mir-4664_hsa-miR-4664-5p_8:30_-2:-1_mut:10A_add:null hsa-miR-4664-5p True True True False False hsa-miR-4292 6
hsa-mir-4769_hsa-miR-4769-5p_9:29_1:-2_mut:null_add:null hsa-miR-4769-5p True True False False False hsa-miR-4769-5p 1
hsa-mir-4727_hsa-miR-4727-5p_1:21_-1:-1_mut:null_add:null hsa-miR-4727-5p True True False False False hsa-miR-4727-5p 1
hsa-mir-638_hsa-miR-638_18:39_2:-1_mut:null_add:TT hsa-miR-638 True True False True False hsa-miR-638 1
hsa-mir-591_hsa-miR-591_14:35_-2:0_mut:18T_add:null hsa-miR-591 True False True False False hsa-miR-591 1
hsa-mir-1224_hsa-miR-1224-5p_4:18_3:-1_mut:null_add:null hsa-miR-1224-5p True True False False False hsa-miR-1224-5p 1
hsa-mir-6736_hsa-miR-6736-5p_8:25_2:-1_mut:null_add:null hsa-miR-6736-5p True True False False False hsa-miR-6736-5p 1
hsa-mir-4469_hsa-miR-4469_54:73_2:0_mut:null_add:null hsa-miR-4469 True False False False False hsa-miR-4469 1
hsa-mir-2682_hsa-miR-2682-5p_23:44_0:-1_mut:null_add:TA hsa-miR-2682-5p False True False True False hsa-miR-2682-5p 1
hsa-mir-6884_hsa-miR-6884-5p_9:25_3:-2_mut:null_add:null hsa-miR-6884-5p True True False False False hsa-miR-6884-5p 1
hsa-mir-219b_hsa-miR-219b-5p_17:34_3:-1_mut:null_add:AAT hsa-miR-219b-5p True True False True False hsa-miR-219b-5p 2
hsa-mir-2278_hsa-miR-2278_17:36_1:-1_mut:null_add:null hsa-miR-2278 True True False False False hsa-miR-2278 1
hsa-mir-6756_hsa-miR-6756-5p_4:26_-2:-2_mut:null_add:null hsa-miR-6756-5p True True False False False hsa-miR-6756-5p 1
hsa-let-7b_hsa-let-7b-5p_8:27_2:0_mut:null_add:null hsa-let-7b-5p True False False False False hsa-let-7b-5p 1
hsa-mir-9-1_hsa-miR-9-5p_19:37_3:-1_mut:null_add:A hsa-miR-9-5p True True False True False hsa-miR-9-5p 3
hsa-mir-4469_hsa-miR-4469_56:71_4:-2_mut:null_add:null hsa-miR-4469 True True False False False hsa-miR-4469 1
hsa-mir-921_hsa-miR-921_6:25_4:-1_mut:null_add:A hsa-miR-921 True True False True False hsa-miR-921 1
hsa-mir-3691_hsa-miR-3691-5p_15:36_0:-1_mut:2T_add:null hsa-miR-3691-5p False True True False False hsa-miR-3691-5p 1
hsa-mir-194-2_hsa-miR-194-5p_17:36_2:0_mut:17G_add:null hsa-miR-194-5p True False True False False hsa-miR-194-5p 2
hsa-mir-5087_hsa-miR-5087_15:33_4:0_mut:null_add:null hsa-miR-5087 True False False False False hsa-miR-5087 1
hsa-mir-2909_hsa-miR-2909_2:24_-2:0_mut:null_add:TTT hsa-miR-2909 True False False True False hsa-miR-2909 1
hsa-mir-6507_hsa-miR-6507-5p_9:25_3:-1_mut:null_add:T hsa-miR-6507-5p True True False True False hsa-miR-6507-5p 1
hsa-mir-1283-2_hsa-miR-1283_18:34_4:-1_mut:null_add:T hsa-miR-1283 True True False True False hsa-miR-1283 2
hsa-mir-1910_hsa-miR-1910-5p_10:31_-2:-1_mut:null_add:null hsa-miR-1910-5p True True False False False hsa-miR-1910-5p 1
hsa-mir-876_hsa-miR-876-5p_11:31_0:-1_mut:21G_add:null hsa-miR-876-5p False True True False False hsa-miR-876-5p 1
hsa-mir-3156-1_hsa-miR-3156-5p_6:29_-2:0_mut:null_add:null hsa-miR-3156-5p True False False False False hsa-miR-3156-5p 3
hsa-mir-4739_hsa-miR-4739_10:33_0:-1_mut:null_add:TAA hsa-miR-4739 False True False True False hsa-miR-4739 1
hsa-mir-4283-1_hsa-miR-4283_11:26_0:-1_mut:null_add:null hsa-miR-4283 False True False False False hsa-miR-4283 2
hsa-mir-6876_hsa-miR-6876-5p_5:26_-1:-1_mut:null_add:null hsa-miR-6876-5p True True False False False hsa-miR-6876-5p 1
hsa-mir-4256_hsa-miR-4256_9:28_-2:0_mut:null_add:AAT hsa-miR-4256 True False False True False hsa-miR-4256 1
hsa-let-7a-3_hsa-let-7a-5p_8:24_4:-1_mut:null_add:TAA hsa-let-7a-5p True True False True False hsa-let-7a-5p 3
hsa-mir-4509-1_hsa-miR-4509_20:38_2:-1_mut:null_add:T hsa-miR-4509 True True False True False hsa-miR-4509 3
hsa-mir-564_hsa-miR-564_15:32_-1:-2_mut:null_add:T hsa-miR-564 True True False True False hsa-miR-564 1
hsa-mir-378e_hsa-miR-378e_62:76_4:0_mut:null_add:null hsa-miR-378e True False False False False hsa-miR-378e 1
hsa-mir-3121_hsa-miR-3121-5p_15:33_3:0_mut:null_add:TA hsa-miR-3121-5p True False False True False hsa-miR-3121-5p 1
hsa-mir-532_hsa-miR-532-5p_18:40_-2:-1_mut:null_add:TAA hsa-miR-532-5p True True False True False hsa-miR-532-5p 1
hsa-mir-4753_hsa-miR-4753-5p_13:29_3:-2_mut:null_add:ATT hsa-miR-4753-5p True True False True False hsa-miR-4753-5p 1
hsa-mir-7159_hsa-miR-7159-5p_1:19_0:-2_mut:null_add:null hsa-miR-7159-5p False True False False False hsa-miR-7159-5p 1
hsa-mir-5000_hsa-miR-5000-5p_28:44_4:-1_mut:null_add:null hsa-miR-5000-5p True True False False False hsa-miR-5000-5p 1
hsa-mir-765_hsa-miR-765_68:88_-1:-1_mut:19C_add:TT hsa-miR-765 True True True True False hsa-miR-765 1
hsa-mir-519e_hsa-miR-519e-5p_14:34_0:-1_mut:21G_add:TAA hsa-miR-519e-5p False True True True False hsa-miR-519e-5p 1
hsa-mir-298_hsa-miR-298_15:33_4:-1_mut:null_add:null hsa-miR-298 True True False False False hsa-miR-298 1
hsa-mir-1244-3_hsa-miR-1244_59:79_4:-1_mut:null_add:ATT hsa-miR-1244 True True False True False hsa-miR-1244 3
hsa-mir-1257_hsa-miR-1257_21:42_-1:0_mut:null_add:T hsa-miR-1257 True False False True False hsa-miR-1257 1
hsa-mir-512-1_hsa-miR-512-5p_12:35_-2:-1_mut:null_add:null hsa-miR-512-5p True True False False False hsa-miR-512-5p 2
hsa-mir-5186_hsa-miR-5186_71:92_-1:0_mut:null_add:null hsa-miR-5186 True False False False False hsa-miR-5186 1
hsa-mir-4755_hsa-miR-4755-5p_8:31_-2:0_mut:null_add:AA hsa-miR-4755-5p True False False True False hsa-miR-4755-5p 1
hsa-mir-1302-1_hsa-miR-1302_77:95_2:0_mut:null_add:null hsa-miR-1302 True False False False False hsa-miR-1302 11
hsa-mir-3925_hsa-miR-3925-5p_11:31_-1:-2_mut:null_add:TA hsa-miR-3925-5p True True False True False hsa-miR-3925-5p 1
hsa-mir-542_hsa-miR-542-5p_15:38_-1:0_mut:null_add:null hsa-miR-542-5p True False False False False hsa-miR-542-5p 1
hsa-mir-4291_hsa-miR-4291_10:25_-1:-1_mut:null_add:null hsa-miR-4291 True True False False False hsa-miR-4291 1
hsa-mir-939_hsa-miR-939-5p_17:37_2:-1_mut:null_add:T hsa-miR-939-5p True True False True False hsa-miR-939-5p 1
hsa-mir-6813_hsa-miR-6813-5p_10:27_4:-1_mut:null_add:null hsa-miR-6813-5p True True False False False hsa-miR-6813-5p 1
hsa-mir-4540_hsa-miR-4540_37:54_2:-1_mut:null_add:null hsa-miR-4540 True True False False False hsa-miR-4540 1
hsa-mir-628_hsa-miR-628-5p_27:43_4:-1_mut:null_add:A hsa-miR-628-5p True True False True False hsa-miR-628-5p 1
hsa-mir-3122_hsa-miR-3122_11:30_1:-1_mut:null_add:null hsa-miR-3122 True True False False False hsa-miR-3122 1
